image,title,description,price
_DSC0041.jpg,Exterior Coach Light,"20"" tall flat black finish",$25.00 
_DSC0070.jpg,Semi flush mount light,Antique bronze finish,$15.00 
_DSC0067.jpg,Semi flush mount light,Antique bronze finish,$15.00 
_DSC0089.jpg,Wall Sconce,Antique bronze finish,$10.00 
_DSC0090.jpg,Wall Sconce,Antique bronze finish,$10.00 
_DSC0072.jpg,Pot lights,Various recessed pot lights with fixture throught the house,$5.00 
_DSC0073.jpg,Pot lights,Various recessed pot lights with fixture throught the house,$5.00 
Curtains and Blinds,,,
_DSC0046.jpg,Hunter Douglas label,"On base of all 2"" wood blinds",.
_DSC0044.jpg,"Hunter Douglas 2"" White wood blinds","28""x46"" each of 2 panels",$30.00 
_DSC0045.jpg,"Hunter Douglas 2"" White wood blinds","2 panels 28""x46"" set with 62"" valance",$65.00 
_DSC0104.jpg,"Hunter Douglas 2"" White wood blinds","2 panels 11.5""x53"" sold seperately or together",$15.00 each
_DSC0105.jpg,"Hunter Douglas 2"" White wood blinds","34.5""x59"" ",$40.00 
_DSC0106.jpg,"Hunter Douglas 2"" White wood blinds","72""x59"" ",$60.00 
_DSC0109.jpg,"Hunter Douglas 2"" White wood blinds","28.75""x69"" each, showing 2",$35.00 each
_DSC0116.jpg,"Hunter Douglas 2"" White wood blinds","28.75""x69"" each, showing 2",$35.00 each
_DSC0117.jpg,"Hunter Douglas 2"" White wood blinds","28.5""x52",$30.00 
_DSC0118.jpg,"Hunter Douglas 2"" White wood blinds","28.5""x52",$30.00 
_DSC0069.jpg,Levelor label,On base of all roller shades,.
_DSC0074.jpg,Levelor roller shades,"40""x86"" each, 2 shown with Valance",$75.00 each
_DSC0075.jpg,Levelor roller shades,"44""x86"" each, 2 shown with Valance",$75.00 each
_DSC0076.jpg,Levelor roller shades,"71""x86"" each, 2 shown with Valance",$100.00 each
_DSC0077.jpg,Levelor roller shades,"47""x86"" each, 4 shown with Valanc",$75.00 each
_DSC0079.jpg,Double curtain rod,"Extendable 6' to 11' charcoal colour, includes 3 brackets",$15.00 
_DSC0080.jpg,White curtain panels,"68""x72"" each, showing 5",$10.00 each
Doors,,,
_DSC0078.jpg,French Door,"32""x78"" ",$20.00 
_DSC0101.jpg,French Door,"28.75""x79""",$20.00 
_DSC0120.jpg,French Door,"32""x 79""",$20.00 
_DSC0100.jpg,Single door,"Various sizes throughtout house, inquire for details",$15.00 
_DSC0103.jpg,Double doors,"Various sizes throughout house, sold as a set, inqure for details",$25.00 
_DSC0108.jpg,Mirrored sliding doors,"45""x80"" each door, includes rails, sold as set",$50.00 
Bath,,,
_DSC0084.jpg,Hand held shower,white,$5.00 
_DSC0092.jpg,Sink and Gold plated widespread faucet,white fluted sink and faucets can be sold separately,$30.00 
_DSC0083.jpg,Faucet,Polished chrome with gold details 2 handle faucet,$20.00 
_DSC0085.jpg,White Vanity,"44""x 29.5"" White stone top and faucet",$40.00 
_DSC0110.jpg,Sink and Faucet,"Matching pair of 20.5""x18"" over counter white sinks, sold separately",$20.00 
_DSC0111.jpg,Sink and Faucet,"Matching pair of 20.5""x18"" over counter white sinks, sold separately",$20.00 
_DSC0093.jpg,Modern Toilet,Low tank wide toilet,$30.00 
_DSC0113.jpg,Toilet,"White, looks new",$20.00 
_DSC0097.jpg,Shower rod,"Adjustable 72"", polished crome - shower curtain extra",$10.00 
_DSC0119.jpg,Shower rod,"Adjustable 72"" pewter with black ends",$10.00 
_DSC0082.jpg,Towel Ring,Brushed Nickel,$15.00 
_DSC0086.jpg,Towel Bar,"20"" Brushed Nickel",$15.00 
_DSC0087.jpg,Toilet paper holder,Brushed Nickel,$10.00 
_DSC0096.jpg,Towel Bar,"26"" Brushed Nickel",$15.00 
_DSC0094.jpg,Toilet paper holder,Brushed Nickel,$10.00 
_DSC0095.jpg,Robe Hook,Brushed Nickel,$10.00 
_DSC0115.jpg,Towel Bar,Polished Chrome,$15.00 
_DSC0114.jpg,Toilet paper holder,Polished Chrome,$10.00 
_DSC0112.jpg,Towel Ring,Polished Chrome,$15.00 
Misc,,,
_DSC0071.jpg,Gas Fireplace,"29""x22"" face with louvers, mantel extra",$150.00 
_DSC0091.jpg,Mirror,"26.5""x26.5"" Antique Bronze finish",$10.00 
_DSC0042.jpg,Branch Coat hooks,"3""x6.5"" one shown 4 available",$5.00 each
_DSC0081.jpg,Muskoka Chairs,Weathered,$10.00 
_DSC0129.jpg,Fireplace pooker set,Flat black finish,$5.00 
_DSC0128.jpg,Fireplace pooker set again,Flat black finish,$5.00 
_DSC0122.jpg,Carbon Monoxide Detector,"one shown, two avilable",$20.00 
_DSC0123.jpg,Laundry Upper cupboards,White,$20.00 
_DSC0124.jpg,Laundry Lower cupboards,White with utility sink,$30.00 
_DSC0126.jpg,Bar,Bar sink and shelves,$30.00 
_DSC0127.jpg,Bar,Wood clad bar,$30.00 
